date,teamId,team,teamName,metric_path,value
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.rank,9.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.leagueAvg.imperial,31.5501
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.leagueAvg.metric,50.7724
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.overlay.awayTeam.score,4.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.overlay.homeTeam.score,5.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.overlay.periodDescriptor.maxRegulationPeriods,3.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.overlay.periodDescriptor.number,2.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.overlay.gameType,2.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.imperial,10.7644
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.metric,17.3227
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.rank,14.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.leagueAvg.imperial,10.7472
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.leagueAvg.metric,17.2952
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.overlay.awayTeam.score,3.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.overlay.homeTeam.score,4.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.overlay.gameOutcome.otPeriods,1.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.overlay.periodDescriptor.maxRegulationPeriods,3.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.overlay.periodDescriptor.number,2.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxPeriod.overlay.gameType,2.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distanceTotal.imperial,966.2321
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distanceTotal.metric,1554.924
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distanceTotal.rank,2.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distanceTotal.leagueAvg.imperial,935.5547
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distanceTotal.leagueAvg.metric,1505.5559
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distancePer60.imperial,8.7245
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distancePer60.metric,14.04
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distancePer60.rank,1.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distancePer60.leagueAvg.imperial,8.4797
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distancePer60.leagueAvg.metric,13.6462
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distanceMaxGame.imperial,20.7954
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distanceMaxGame.metric,33.4653
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[2].distanceMaxGame.rank,1.0
